{18718162=<>, 73417273=<>, 166715703=<>, 24206345=<>, 49437246=<>},1420582742643
{34409159=<>, 23354464=<>, 1454742764=<>, 326821147=<>, 14845376=<>},1420582802643
{384940104=<>, 15601977=<>, 240818630=<>, 21986815=<>, 34454970=<>},1420582862643
{349227445=<>, 20096207=<>, 18811814=<>, 39841830=<>, 14811775=<>},1420582922643
{114872969=<>, 15111389=<>, 50672288=<>, 620340592=<>, 33320626=<>},1420582982643
{34541677=<>, 199358175=<>, 45710831=<>, 27091328=<>, 92733433=<>},1420583042643
{11178672=<>, 188077169=<>, 36440780=<>, 104291835=<>, 162041294=<>},1420583102643
{180026716=<>, 57333521=<>, 61733092=<>, 108039570=<>, 171716921=<>},1420583162643
{54988878=<>, 18725415=<>, 60863619=<>, 309220197=<>, 2200632505=<>},1420583222643
{20745130=<>, 21796484=<>, 19205893=<>, 183807568=<>, 44426926=<>},1420583282643
{384479689=<>, 15907716=<>, 2703171=<>, 278093318=<>, 93644596=<>},1420583342643
{193232854=<>, 152341106=<>, 16045956=<>, 14787749=<>, 10069612=<>},1420583402643
{35947725=<>, 50023090=<>, 24705687=<>, 18971670=<>, 69020299=<>},1420583462643
